Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,0.000240961,Local Community,Presence of indigenous population,3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,0.000240961,Local Community,Sanitation coverage,3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,Embodied value added total,5
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,Global Peace Index,1
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,"Health expenditure, total",3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,"Illiteracy rate, total",3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,Life expectancy at birth,0
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.61E-04,Society,Public expenditure on education,2
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,0.000963843,Value Chain Actors,Public sector corruption,2
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,"Children in employment, total",2
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,Evidence of violations of laws and employment regulations,3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,"Sector average wage, per month",1
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,Trade union density,5
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,Weekly hours of work per employee,3
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,Women in the sectoral labour force,4
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,1.38E-04,Workers,Workers affected by natural disasters,1
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,0.000135276,Local Community,Drinking water coverage,1
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,0.000135276,Local Community,International Migrant Stock,5
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,0.000135276,Local Community,Presence of indigenous population,3
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,0.000135276,Local Community,Sanitation coverage,3
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,Embodied value added total,1
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,Global Peace Index,1
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,"Health expenditure, total",2
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,"Illiteracy rate, total",1
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,Life expectancy at birth,0
Cobalt,0.094693347,Canada,0.022857143,Canada 2.3%,9.01841E-05,Society,Public expenditure on education,2
