Country,Refining share,Label,Area,Stakeholder,Indicator,,Value,Area if each stakeholder has the same weight,Subcategory
Poland,0.02352521,Poland 2.4%,0.001102273,Society,Public expenditure on education,,2,0.000980217,Contribution to economic development
Poland,0.02352521,Poland 2.4%,0.001102273,Society,Public sector corruption,,4,0.000980217,Corruption
Poland,0.02352521,Poland 2.4%,0.001102273,Value Chain Actors,"Children in employment, total",,3,0.005881303,Child labour
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,Evidence of violations of laws and employment regulations,,3,0.000840186,"Social benefits, legal issues"
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,"Sector average wage, per month",,1,0.000840186,Fair Salary
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,Trade union density,,5,0.000840186,Freedom of association and collective bargaining
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,Weekly hours of work per employee,,4,0.000840186,Working time
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,Women in the sectoral labour force,,2,0.000840186,Discrimination
Poland,0.02352521,Poland 2.4%,0.001102273,Workers,Workers affected by natural disasters,,1,0.000840186,Health and Safety
Russia,0.042758892,Russia 4.3%,0.001102273,Local Community,Drinking water coverage,,5,0.002672431,Safe and healthy living conditions
Russia,0.042758892,Russia 4.3%,0.001102273,Local Community,International Migrant Stock,,3,0.002672431,Migration
Russia,0.042758892,Russia 4.3%,0.001102273,Local Community,Presence of indigenous population,,3,0.002672431,Respect of indigenous rights
Russia,0.042758892,Russia 4.3%,0.001102273,Local Community,Sanitation coverage,,3,0.002672431,Safe and healthy living conditions
Russia,0.042758892,Russia 4.3%,0.001102273,Local Community,Embodied value added total,,3,0.002672431,Contribution to economic development
Russia,0.042758892,Russia 4.3%,0.001102273,Society,Global Peace Index,,5,0.00178162,Health and Safety
Russia,0.042758892,Russia 4.3%,0.001102273,Society,"Health expenditure, total",,3,0.00178162,Health and Safety
Russia,0.042758892,Russia 4.3%,0.001102273,Society,"Illiteracy rate, total",,1,0.00178162,Contribution to economic development
Russia,0.042758892,Russia 4.3%,0.001102273,Society,Life expectancy at birth,,2,0.00178162,Health and Safety
Russia,0.042758892,Russia 4.3%,0.001102273,Society,Public expenditure on education,,3,0.00178162,Contribution to economic development
Russia,0.042758892,Russia 4.3%,0.001102273,Society,Public sector corruption,,5,0.00178162,Corruption
Russia,0.042758892,Russia 4.3%,0.001102273,Value Chain Actors,"Children in employment, total",,4,0.010689723,Child labour
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,Evidence of violations of laws and employment regulations,,3,0.001527103,"Social benefits, legal issues"
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,"Sector average wage, per month",,2,0.001527103,Fair Salary
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,Trade union density,,4,0.001527103,Freedom of association and collective bargaining
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,Weekly hours of work per employee,,4,0.001527103,Working time
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,Women in the sectoral labour force,,1,0.001527103,Discrimination
Russia,0.042758892,Russia 4.3%,0.001102273,Workers,Workers affected by natural disasters,,1,0.001527103,Health and Safety
USA,0.04284208,USA 4.3%,0.001102273,Local Community,Drinking water coverage,,1,0.00267763,Safe and healthy living conditions
USA,0.04284208,USA 4.3%,0.001102273,Local Community,International Migrant Stock,,4,0.00267763,Migration
USA,0.04284208,USA 4.3%,0.001102273,Local Community,Presence of indigenous population,,0,0.00267763,Respect of indigenous rights
USA,0.04284208,USA 4.3%,0.001102273,Local Community,Sanitation coverage,,3,0.00267763,Safe and healthy living conditions
USA,0.04284208,USA 4.3%,0.001102273,Local Community,Embodied value added total,,5,0.00267763,Contribution to economic development
USA,0.04284208,USA 4.3%,0.001102273,Society,Global Peace Index,,1,0.001785087,Health and Safety
USA,0.04284208,USA 4.3%,0.001102273,Society,"Health expenditure, total",,1,0.001785087,Health and Safety
USA,0.04284208,USA 4.3%,0.001102273,Society,"Illiteracy rate, total",,1,0.001785087,Contribution to economic development
USA,0.04284208,USA 4.3%,0.001102273,Society,Life expectancy at birth,,1,0.001785087,Health and Safety
USA,0.04284208,USA 4.3%,0.001102273,Society,Public expenditure on education,,2,0.001785087,Contribution to economic development
USA,0.04284208,USA 4.3%,0.001102273,Society,Public sector corruption,,2,0.001785087,Corruption
USA,0.04284208,USA 4.3%,0.001102273,Value Chain Actors,"Children in employment, total",,2,0.01071052,Child labour
USA,0.04284208,USA 4.3%,0.001102273,Workers,Evidence of violations of laws and employment regulations,,3,0.001530074,"Social benefits, legal issues"
USA,0.04284208,USA 4.3%,0.001102273,Workers,"Sector average wage, per month",,1,0.001530074,Fair Salary
USA,0.04284208,USA 4.3%,0.001102273,Workers,Trade union density,,5,0.001530074,Freedom of association and collective bargaining
USA,0.04284208,USA 4.3%,0.001102273,Workers,Weekly hours of work per employee,,2,0.001530074,Working time
USA,0.04284208,USA 4.3%,0.001102273,Workers,Women in the sectoral labour force,,3,0.001530074,Discrimination
USA,0.04284208,USA 4.3%,0.001102273,Workers,Workers affected by natural disasters,,1,0.001530074,Health and Safety
Rest of the world,0.170115711,Rest of the world 17%,0.170115711,,,,2.951740884,0.170115711,
