Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Russia,0.090086217,Russia 9%,0.00500479,Society,Global Peace Index,5,0.003753592,Health and Safety
Russia,0.090086217,Russia 9%,0.00500479,Society,"Health expenditure, total",3,0.003753592,Health and Safety
Russia,0.090086217,Russia 9%,0.00500479,Society,"Illiteracy rate, total",1,0.003753592,Contribution to economic development
Russia,0.090086217,Russia 9%,0.00500479,Society,Life expectancy at birth,2,0.003753592,Health and Safety
Russia,0.090086217,Russia 9%,0.00500479,Society,Public expenditure on education,3,0.003753592,Contribution to economic development
Russia,0.090086217,Russia 9%,0.00500479,Value Chain Actors,Public sector corruption,5,0.022521554,Corruption
Russia,0.090086217,Russia 9%,0.00500479,Workers,"Children in employment, total",4,0.003217365,Child labour
Russia,0.090086217,Russia 9%,0.00500479,Workers,Evidence of violations of laws and employment regulations,3,0.003217365,"Social benefits, legal issues"
Russia,0.090086217,Russia 9%,0.00500479,Workers,"Sector average wage, per month",2,0.003217365,Fair Salary
Russia,0.090086217,Russia 9%,0.00500479,Workers,Trade union density,4,0.003217365,Freedom of association and collective bargaining
Russia,0.090086217,Russia 9%,0.00500479,Workers,Weekly hours of work per employee,4,0.003217365,Working time
Russia,0.090086217,Russia 9%,0.00500479,Workers,Women in the sectoral labour force,1,0.003217365,Discrimination
Russia,0.090086217,Russia 9%,0.00500479,Workers,Workers affected by natural disasters,1,0.003217365,Health and Safety
Rest of the world,0.18874396,Rest of the world 18.9%,0.18874396,,,3.143358077,0.18874396,
