Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,"Illiteracy rate, total",3
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,Life expectancy at birth,2
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,Public expenditure on education,1
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.007314715,Value Chain Actors,Public sector corruption,5
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,"Children in employment, total",2
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,Evidence of violations of laws and employment regulations,3
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,"Sector average wage, per month",3
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,Trade union density,5
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,Weekly hours of work per employee,2
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,Women in the sectoral labour force,1
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001044959,Workers,Workers affected by natural disasters,1
Manganese,0.451074067,China,0.07027027,China 7%,0.001981069,Local Community,Drinking water coverage,2
Manganese,0.451074067,China,0.07027027,China 7%,0.001981069,Local Community,International Migrant Stock,1
Manganese,0.451074067,China,0.07027027,China 7%,0.001981069,Local Community,Presence of indigenous population,3
Manganese,0.451074067,China,0.07027027,China 7%,0.001981069,Local Community,Sanitation coverage,4
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,Embodied value added total,2
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,Global Peace Index,3
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,"Health expenditure, total",4
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,"Illiteracy rate, total",3
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,Life expectancy at birth,1
Manganese,0.451074067,China,0.07027027,China 7%,0.001320712,Society,Public expenditure on education,2
Manganese,0.451074067,China,0.07027027,China 7%,0.007924274,Value Chain Actors,Public sector corruption,5
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,"Children in employment, total",4
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,Evidence of violations of laws and employment regulations,3
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,"Sector average wage, per month",1
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,Trade union density,3
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,Weekly hours of work per employee,3
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,Women in the sectoral labour force,1
Manganese,0.451074067,China,0.07027027,China 7%,0.001132039,Workers,Workers affected by natural disasters,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.004266917,Local Community,Drinking water coverage,3
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.004266917,Local Community,International Migrant Stock,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.004266917,Local Community,Presence of indigenous population,3
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.004266917,Local Community,Sanitation coverage,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,Embodied value added total,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,Global Peace Index,3
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,"Health expenditure, total",4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,"Illiteracy rate, total",5
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,Life expectancy at birth,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002844611,Society,Public expenditure on education,3
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.017067667,Value Chain Actors,Public sector corruption,5
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,"Children in employment, total",5
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,Evidence of violations of laws and employment regulations,4
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,"Sector average wage, per month",3
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,Trade union density,5
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,Weekly hours of work per employee,2
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,Women in the sectoral labour force,1
Manganese,0.451074067,Gabon,0.151351351,Gabon 15.1%,0.002438238,Workers,Workers affected by natural disasters,3
Manganese,0.451074067,Gabon,0.075675676,Gabon 7.6%,0.001219119,Workers,Workers affected by natural disasters,3
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,0.002133458,Local Community,Drinking water coverage,5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,0.002133458,Local Community,International Migrant Stock,1
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,0.002133458,Local Community,Presence of indigenous population,0
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,0.002133458,Local Community,Sanitation coverage,5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,Embodied value added total,3
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,Global Peace Index,2
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,"Health expenditure, total",4
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,"Illiteracy rate, total",5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,Life expectancy at birth,4
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.42E-03,Society,Public expenditure on education,2
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,0.008533834,Value Chain Actors,Public sector corruption,5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,"Children in employment, total",5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,Evidence of violations of laws and employment regulations,4
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,"Sector average wage, per month",5
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,Trade union density,4
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,Weekly hours of work per employee,2
Manganese,0.451074067,Ghana,0.075675676,Ghana 7.6%,1.22E-03,Workers,Women in the sectoral labour force,4
Manganese,0.451074067,Ghana,0.281081081,Ghana 28.1%,4.53E-03,Workers,Workers affected by natural disasters,1
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.007924274,Local Community,International Migrant Stock,3
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.007924274,Local Community,Presence of indigenous population,3
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.007924274,Local Community,Sanitation coverage,4
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,Embodied value added total,5
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,Global Peace Index,4
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,"Health expenditure, total",3
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,"Illiteracy rate, total",3
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,Life expectancy at birth,5
Manganese,0.451074067,South Africa,0.281081081,South Africa 28.1%,0.005282849,Society,Public expenditure on education,1
